Gene,mean_exp_c57,koff_c57,kon_c57,regime_c57,regime_v2_c57,s_c57
Trmt6,4.43,3.05642601,1.05379913,unz,uz,17.29158736
Trmt61a,1.61,0.19889463,0.33852147,b,uz,2.55152477
Trmt61b,0.52,0.86439756,0.15027257,b,uz,3.48706084
Trnau1ap,1.85,1.98946027,0.69483963,uz,uz,7.15718515
Trnt1,1.92,4.87828132,0.90550835,uz,uz,12.26356154
Tro,0.07,5.11522411,0.0125226918,uz,uz,29.135413699999997
Troap,1.01,1.79627061,0.69407218,uz,uz,3.62849204
Trove2,1.01,1.06667392,0.35513077,uz,uz,4.05636458
Trp53,7.87,655.85854313,3.27419936,unz,unz,1583.6932489
Trp53bp2,0.28,1.81039772,0.21143514,uz,uz,2.6484144
Trp53i11,1.12,0.72738784,0.14906113,b,uz,6.59265337
Trp53i13,0.3,1.31101895,0.09799153,uz,uz,4.3109302000000005
Trp53inp1,1.52,5.0300968,0.38856338,uz,uz,21.24683458
Trp53rk,0.85,1.91035432,0.29433356,uz,uz,6.3755405
Trp73,0.07,2.17792507,0.04772761,uz,uz,3.14861046
Trpm4,0.67,1.73244782,0.21681620000000001,uz,uz,6.03680082
Trpm7,2.84,0.61316479,0.63088354,b,b,5.60169746
Trrap,2.81,505.02524031,1.8079564,unz,unz,788.81705877
Trub1,1.33,35.34495048,0.35915312,uz,uz,132.15032771
Trub2,1.1,2.24868741,0.46376913,uz,uz,6.41524395
Tsc1,0.58,1.48250081,0.18085144,uz,uz,5.34683376
Tsc2,1.26,165.32510175,0.64858426,uz,uz,322.15533577
Tsc22d1,15.82,62.72556401,4.42507508,unz,unz,240.03506893
Tsc22d4,1.11,6.82495575,0.38951168,uz,uz,20.62154618
Tsen15,1.29,1.87334711,0.40734107,uz,uz,7.21693125
Tsen34,2.07,1.56471006,0.37102055,uz,uz,10.79435494
Tsen54,0.74,3.94912467,0.85632711,uz,uz,4.14795748
Tsfm,2.89,1.28101844,0.70304223,uz,uz,8.16595637
Tsg101,1.88,197.35618201,1.78887778,unz,uz,209.51436774
Tshz1,0.1,11.2268348,0.0327705565,uz,uz,34.5765631
Tshz3,0.23,0.41309429,0.01295029,b,uz,7.60344344
Tsix,2.74,182.40103484,1.54959543,unz,unz,325.79336235
Tsn,7.14,5.01684863,1.69561914,unz,unz,28.27806383
Tspan13,1.83,0.86734486,0.54385016,b,uz,4.75398116
Tspan14,2.8,0.51037673,0.18253586,b,uz,10.64538483
Tspan17,0.43,5.46781438,0.31569379,uz,uz,7.79441629
Tspan2,0.03,16.0351726,0.02913667,uz,uz,17.8776653
Tspan3,3.41,0.92710499,0.77491297,b,uz,7.49478878
Tspan31,2.58,0.68777073,0.62336249,b,uz,5.429048000000001
Tspan33,0.11,40.12464364,0.07001784,uz,uz,60.600435
Tspan7,0.1,0.04244785,0.00467572,b,uz,1.04586144
Tspyl4,0.25,2.19129199,0.06533263,uz,uz,8.47815812
Tsr1,2.69,2.35966916,0.82292714,uz,uz,10.38673076
Tsr2,2.89,5.11744916,0.96449801,uz,uz,18.19750905
Tssc1,1.64,170.37590671,0.9511074,uz,uz,294.89649376
Tst,0.7,141.73582338,0.33565363,uz,uz,294.59588618
Tsta3,2.87,0.06062181,0.16830861,b,b,3.90541454
Tstd2,0.64,3.31214611,0.41096326,uz,uz,5.82828024
Ttc1,3.78,4.41966117,1.12482405,unz,uz,18.614834100000003
Ttc12,0.34,9.21440587,0.05949266,uz,uz,53.35011815
Ttc13,1.05,96.50019591,1.01680513,unz,uz,100.6937751
Ttc14,1.35,1.83035222,0.41040545,uz,uz,7.36858901
Ttc21b,0.11,19.64968871,0.0486119,uz,uz,45.69397845
Ttc23,0.85,1.25940961,0.22576263,uz,uz,5.57076846
Ttc27,1.4,0.64040625,0.31018156,b,uz,4.28469258
Ttc28,0.51,0.54285666,0.07408209,b,uz,4.22974484
Ttc3,4.43,0.72453563,0.80916451,b,b,8.3920172
Ttc30a1,0.74,0.64423467,0.24509265,b,uz,2.67972267
Ttc32,0.67,247.63885266,0.46153881,uz,uz,358.09474066
Ttc38,0.18,3.38540885,0.12402393,uz,uz,5.03769431
Ttc39b,2.14,782.97479871,1.87302657,unz,uz,897.33189278
Ttc39c,0.33,58.24995198,0.18934392,uz,uz,101.77140389
Ttc4,2.18,3.14169131,1.77531314,unz,unz,6.04678568
Ttc7b,0.37,25.45358789,0.27926978,uz,uz,33.65870663
Ttc9c,1.64,162.18535248,1.32829972,unz,uz,202.08367987
Ttf1,1.68,21.97064818,0.53560446,uz,uz,70.51622064
Tti1,1.24,6.3095704,1.52629518,unz,uz,6.34989904
Ttk,1.59,236.81314122,1.49065115,unz,uz,254.77698347
Ttl,0.7,92.17849469,0.35119535,uz,uz,185.55092996
Ttll12,1.16,14.72825892,0.64232038,uz,uz,27.73205987
Ttll5,0.44,1.10825609,0.08729586,uz,uz,5.97738739
Ttn,5.45,0.53035161,0.20850078,b,b,19.30924693
Tuba3a,0.4,0.05394994,0.00621532,b,b,3.89381899
Tubb2a,1.33,536.64039884,1.32649249,unz,uz,537.85237974
Tubb2b,5.86,0.4517527,0.36173904,b,uz,13.175321900000002
Tubb3,0.59,257.61647996,0.55869299,uz,uz,273.34468443
Tubb5,30.77,0.78319661,0.37334043,b,b,95.32603035
Tubb6,1.53,125.01369532,0.96032937,uz,uz,201.11634153
Tubg1,2.34,9.04153238,1.08801651,unz,uz,21.79762914
Tubg2,0.54,1.04042712,0.08883238,uz,uz,6.81521296
Tubgcp2,1.53,98.74906798,0.8958742000000001,uz,uz,169.86244596
Tubgcp3,1.51,3.06734617,0.65986848,uz,uz,8.53077895
Tubgcp4,1.28,0.59999818,0.11095659,b,uz,8.21887964
Tubgcp5,1.03,5.19650444,0.54849238,uz,uz,10.82368514
Tuft1,0.17,24.25291275,0.1446557,uz,uz,28.64121967
Tut1,2.76,15.58775051,2.00027381,unz,unz,24.30569373
Twf2,1.48,256.89772295,0.6901722,uz,uz,552.840603
Txlna,2.96,0.67537926,0.45972806,b,uz,7.296499799999999
Txlng,1.23,0.34458218,0.16319017,b,uz,3.82391682
Txn1,22.58,0.20031077,0.10156908,b,b,67.11106386
Txn2,6.23,5.40365226,1.73281643,unz,unz,25.66962049
Txndc12,1.28,67.86833341,1.2155475,unz,uz,72.63078909
Txndc15,1.5,2.30640505,0.5642316999999999,uz,uz,7.63615525
Txnip,1.1,1.56720483,0.14137815,uz,uz,13.33102678
Txnl1,3.66,0.836578,0.83017539,b,b,7.35729533
Txnl4a,15.7,137.63658058,3.56650072,unz,unz,621.76303434
Txnrd1,3.86,13.02229945,1.38713901,unz,unz,40.12980208
Txnrd2,0.13,26.16523909,0.10924635,uz,uz,31.07793156
Tyk2,0.69,1.94321377,0.39143316,uz,uz,4.11885207
Tyms,4.11,109.91453842,2.3993207,unz,unz,192.27644342
Tyro3,0.77,1.03057725,0.29111238,uz,uz,3.49682849
Tysnd1,0.59,12.79970191,0.49883657,uz,uz,15.75239768
Tyw3,0.44,1.37609769,0.11935885,uz,uz,5.52996843
U2af1l4,2.01,196.53277359,1.95915107,unz,unz,203.25511219999999
U2af2,3.85,0.80570048,0.50248781,b,b,10.03466447
Uaca,1.15,0.42124285,0.16302668,b,uz,4.13395374
Uap1l1,2.17,38.00876443,0.56547048,uz,uz,147.95490535
Uba1,23.1,3.70704731,3.51611948,unz,unz,47.45301628
Uba2,13.6,14.4271451,3.52630962,unz,unz,69.21973784
Uba3,6.48,1.50071635,1.60063624,unz,unz,12.55576294
Uba5,2.2,1.61756162,0.75009259,uz,uz,6.93097254
Ubac1,1.18,16.35016022,0.52762205,uz,uz,37.59643328
Ubac2,2.48,0.12800424,0.32422654,b,b,3.46042933
Ubap2,2.7,11.83663735,0.94836628,uz,uz,36.39340252
Ubap2l,4.71,3.40999537,0.69483842,uz,uz,27.80902682
Ube2c,4.83,3.54701566,0.5802939,uz,uz,34.35654926
Ube2e2,0.29,29.85977867,0.24104070000000002,uz,uz,35.7022411
Ube2e3,1.46,141.75731399999998,0.409184372,uz,uz,508.971854
Ube2f,1.03,0.43348142,0.19702531,b,uz,3.3043949999999995
Ube2k,4.9,2.95484685,1.3153225,unz,unz,15.89597751
Ube2l3,3.49,2.24748261,0.72681735,uz,uz,14.29887996
Ube2n,0.75,1.17790761,0.19316373,uz,uz,5.29938128
Ube2q1,2.61,0.08773244,0.06955639999999999,b,b,5.91102175
Ube2r2,1.43,3.40058268,0.72464402,uz,uz,8.13010286
Ube2t,2.02,3.18585088,0.60305162,uz,uz,12.71003739
Ube2w,0.75,4.57934219,0.42584528,uz,uz,8.81878278
Ube2z,2.01,165.33202721,1.65473147,unz,uz,202.36787039
Ube3a,2.99,0.40944004,0.18275315,b,uz,9.70172588
Ube3b,1.58,124.54752777,1.07377678,unz,uz,184.81051852
Ube3c,1.44,0.14509999,0.15001436,b,uz,2.8340682999999998
Ube4b,1.78,122.62294974,0.96132826,uz,uz,228.93464994
Ubfd1,1.49,8.93077617,0.82077122,uz,uz,17.68783968
Ubl3,1.18,1.9613672999999998,0.92993582,uz,uz,3.66408638
Ubl5,4.18,0.32797915,0.05146593,b,b,30.84176849
Ubn2,1.58,1.01788096,0.54477873,uz,uz,4.54075134
Ubqln1,4.05,3.99247961,1.29199734,unz,unz,16.56188764
Ubqln2,2.13,119.60539496,1.42284752,unz,uz,181.0679043
Ubqln4,3.76,3.46260826,1.99572571,unz,unz,10.28114026
Ubr1,2.3,2.66063702,0.80360382,uz,uz,9.91501943
Ubr2,2.28,0.97052965,0.45571273,b,uz,7.12168412
Ubr4,4.58,11.80677459,1.37629676,unz,unz,43.88472909
Ubr5,5.18,1.22323268,0.65620028,uz,uz,14.82974048
Ubr7,2.69,3.75131621,1.21709298,unz,uz,10.96763174
Ubtf,4.03,1.64947412,1.01505103,unz,uz,10.582929400000001
Ubxn1,5.54,1.94167276,1.30460567,unz,unz,13.78692412
Ubxn11,0.57,1.49010076,0.12966429,uz,uz,7.11901744
Ubxn2a,5.0,998.94728482,3.28757886,unz,unz,1524.3799228
Ubxn4,3.38,1.8979427,1.17355923,unz,unz,8.83414457
Ubxn6,0.83,5.05110376,0.51216908,uz,uz,8.99914064
Ubxn7,1.52,2.54332716,1.23317695,unz,uz,4.66521404
Ubxn8,0.84,19.882871899999998,0.37644888,uz,uz,45.29704136
Uchl1,1.11,2.11529999,0.35649624,uz,uz,7.69333862
Uchl3,11.33,134.94219115,2.95589819,unz,unz,528.5567225
Uchl5,4.33,9.65128924,2.05823382,unz,unz,24.65689478
Uck1,0.45,0.82434531,0.09127867,b,uz,4.52682978
Uck2,2.95,12.22646369,1.13915892,unz,uz,34.56422822
Uckl1,0.6,50.59142843,0.44152042,uz,uz,68.94430773
Ucp2,1.89,5.26829295,0.95467717,uz,uz,12.34754124
Ufc1,3.99,3.00083452,1.03585247,unz,uz,15.56438317
Ufd1l,1.74,50.72675956,1.25812008,unz,uz,71.8386166
Ufsp2,2.56,2.5590353,0.27530836,uz,uz,26.36744813
Ugdh,0.99,9.47279303,0.46756581,uz,uz,21.03514178
Uggt1,2.97,1.07580935,0.54374294,uz,uz,8.8517741
Uggt2,0.6,2.23497178,0.42439508,uz,uz,3.77357332
Ugp2,0.98,264.78406854,0.72986099,uz,uz,355.93583637
Ugt8a,0.03,16.26446914,0.0288312,uz,uz,18.1258859
Uhrf1,6.2,387.78967575,3.27849624,unz,unz,739.75049307
Uhrf1bp1,1.43,0.50891024,0.21820587,b,uz,4.77515839
Uhrf1bp1l,0.97,2.19732306,0.48795078,uz,uz,5.36206516
Uimc1,0.72,3.96565409,0.34723746,uz,uz,8.94312778
Ulk1,2.32,0.40389473,0.36495352,b,uz,4.87819149
Umps,11.01,1.38782696,1.04179378,unz,unz,25.68524792
Unc119b,1.24,0.66681173,0.37692693,b,uz,3.44166909
Unc13b,0.24,45.61727446,0.21122926,uz,uz,53.11779093
Unc13d,0.09,20.988704600000002,0.0405390795,uz,uz,49.0066819
Unc5b,1.1,0.79758113,0.32693334,b,uz,3.77836209
Ung,2.79,202.03214763,1.91105732,unz,unz,297.96148389
Uox,0.04,13.277301000000001,0.0178023956,uz,uz,31.8791547
Upf1,3.66,0.08516545,0.08443156,b,b,7.35704388
Upf2,2.98,0.69249433,0.41521984,b,uz,7.94952115
Upf3a,3.03,0.97995673,0.43712102,b,b,9.80917273
Upp1,15.2,3.10189902,1.2407712,unz,unz,53.195578399999995
Uqcr10,18.06,8.63940234,3.3826262000000002,unz,unz,64.17259873
Uqcrc1,16.97,22.73223929,3.14928866,unz,unz,139.42528771
Uqcrc2,5.55,320.89384748,3.64601023,unz,unz,494.42213974
Uqcrfs1,6.8,1.19856098,1.51307709,unz,unz,12.19268989
Urgcp,0.22,9.39242524,0.19604093,uz,uz,10.53871604
Urod,3.43,0.62103748,0.2309423,b,uz,12.6577222
Uros,0.69,81.26852349,0.47914477,uz,uz,118.54149840000002
Usf2,0.44,3.19041441,0.30188774,uz,uz,5.11724092
Usmg5,25.15,2.28874423,1.83145334,unz,unz,56.58239288
Uso1,0.88,0.96338238,0.53855965,b,uz,2.46337707
Usp1,1.75,3.31547057,0.29810293,uz,uz,21.15412746
Usp11,0.55,1.24770725,0.2769949,uz,uz,3.03268978
Usp13,0.21,20.94313276,0.11144941,uz,uz,38.93496293
Usp14,7.18,9.20062855,2.82449954,unz,unz,30.57237851
Usp15,2.5,1.97524342,0.8160084,uz,uz,8.54093445
Usp16,2.29,261.60353349,1.41912231,unz,uz,423.92901695
Usp21,0.99,1.28161333,0.35859571,uz,uz,4.51692372
Usp24,1.26,27.55508215,0.81200648,uz,uz,43.99067883
Usp30,0.58,8.44223328,0.38946986,uz,uz,13.07701609
Usp34,4.08,2.01161125,0.43191140000000006,uz,uz,23.08020195
Usp36,1.22,4.47847752,0.28175088,uz,uz,20.579783399999997
Usp38,0.6,1.7577109,0.52750767,uz,uz,2.58989854
Usp39,2.36,4.50208885,1.03271007,unz,uz,12.6237238
Usp46,0.67,1.1524649,0.24491696,uz,uz,3.80128038
Usp47,0.77,11.10190094,0.31683397,uz,uz,27.59783308
Usp48,5.61,0.235803,0.2297185,b,b,11.37101984
Usp49,0.7,0.32636138,0.07474572,b,uz,3.73079471
Usp53,0.37,37.78722881,0.24465092,uz,uz,58.13616189
Usp54,0.68,2.40585633,0.20808048,uz,uz,8.58058746
Usp7,7.65,2.06989483,1.7584131999999997,unz,unz,16.65746684
Usp8,1.75,1.64549544,0.57452342,uz,uz,6.75773053
Usp9x,5.36,273.86008288,3.67465632,unz,unz,405.07724653
Uspl1,0.87,0.3836834,0.29171961,b,uz,2.00613943
Utp11l,6.04,0.59756934,0.65779825,b,b,11.51758779
Utp14a,4.29,51.89231335,3.04220566,unz,unz,77.47056442
Utp15,1.97,25.71369085,0.87159207,uz,uz,60.04922541
Utp18,2.54,1.30624241,0.91330922,uz,uz,6.167211099999999
Utp20,2.88,1.40338714,0.62316442,uz,uz,9.36524249
